GEO_ID,NAME,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M
id,Geographic Area Name,Estimate!!Total!!German or other West Germanic languages,Margin of Error!!Total!!German or other West Germanic languages,Estimate!!Total!!German or other West Germanic languages!!Speak English very well,Margin of Error!!Total!!German or other West Germanic languages!!Speak English very well,Estimate!!Total!!German or other West Germanic languages!!Speak English less than very well,Margin of Error!!Total!!German or other West Germanic languages!!Speak English less than very well
0500000US48199,"Hardin County, Texas",41,,37,29,4,6
0500000US48207,"Haskell County, Texas",4,30,4,6,0,19
0500000US48227,"Howard County, Texas",125,102,91,61,34,59
0500000US48289,"Leon County, Texas",64,89,64,89,0,21
0500000US48333,"Mills County, Texas",16,20,16,20,0,13
0500000US48337,"Montague County, Texas",102,77,102,77,0,21
0500000US48351,"Newton County, Texas",9,14,9,14,0,21
0500000US48365,"Panola County, Texas",18,21,18,21,0,25
0500000US48389,"Reeves County, Texas",16,20,8,20,8,20
0500000US48403,"Sabine County, Texas",3,5,3,5,0,21
0500000US48421,"Sherman County, Texas",2,3,2,3,0,13
0500000US48437,"Swisher County, Texas",4,6,4,6,0,19
0500000US48231,"Hunt County, Texas",290,167,284,164,6,10
0500000US48063,"Camp County, Texas",19,25,11,21,8,16
0500000US48195,"Hansford County, Texas",0,19,0,19,0,19
0500000US48187,"Guadalupe County, Texas",730,184,602,155,128,76
0500000US48077,"Clay County, Texas",2,4,2,4,0,21
0500000US48205,"Hartley County, Texas",24,26,24,26,0,19
0500000US48217,"Hill County, Texas",93,90,86,89,7,11
0500000US48293,"Limestone County, Texas",86,58,42,39,44,43
0500000US48347,"Nacogdoches County, Texas",16,28,16,28,0,31
0500000US48369,"Parmer County, Texas",103,83,93,78,10,11
0500000US48367,"Parker County, Texas",308,161,273,143,35,38
0500000US48377,"Presidio County, Texas",0,19,0,19,0,19
0500000US48465,"Val Verde County, Texas",168,154,146,147,22,35
0500000US48109,"Culberson County, Texas",0,13,0,13,0,13
0500000US48135,"Ector County, Texas",51,38,51,38,0,31
0500000US48169,"Garza County, Texas",5,8,1,3,4,7
0500000US48173,"Glasscock County, Texas",0,13,0,13,0,13
0500000US48185,"Grimes County, Texas",72,56,61,55,11,14
0500000US48453,"Travis County, Texas",3201,526,2939,514,262,98
0500000US48085,"Collin County, Texas",2165,423,2039,411,126,75
0500000US48005,"Angelina County, Texas",111,77,111,77,0,31
0500000US48087,"Collingsworth County, Texas",38,46,38,46,0,13
0500000US48101,"Cottle County, Texas",12,14,12,14,0,13
0500000US48209,"Hays County, Texas",695,274,605,231,90,85
0500000US48279,"Lamb County, Texas",9,15,6,9,3,7
0500000US48295,"Lipscomb County, Texas",19,15,19,15,0,13
0500000US48301,"Loving County, Texas",0,13,0,13,0,13
0500000US48321,"Matagorda County, Texas",57,63,51,60,6,9
0500000US48371,"Pecos County, Texas",57,41,57,41,0,21
0500000US48395,"Robertson County, Texas",44,59,44,59,0,21
0500000US48397,"Rockwall County, Texas",177,110,133,95,44,42
0500000US48401,"Rusk County, Texas",60,46,60,46,0,31
0500000US48441,"Taylor County, Texas",507,184,456,176,51,45
0500000US48447,"Throckmorton County, Texas",0,13,0,13,0,13
0500000US48455,"Trinity County, Texas",27,31,27,31,0,21
0500000US48471,"Walker County, Texas",98,55,80,47,18,28
0500000US48499,"Wood County, Texas",48,47,48,47,0,28
0500000US48019,"Bandera County, Texas",121,83,77,66,44,53
0500000US48007,"Aransas County, Texas",13,17,13,17,0,25
0500000US48075,"Childress County, Texas",2,4,2,4,0,19
0500000US48079,"Cochran County, Texas",50,35,7,11,43,39
0500000US48081,"Coke County, Texas",4,5,4,5,0,13
0500000US48091,"Comal County, Texas",929,249,731,216,198,112
0500000US48099,"Coryell County, Texas",891,277,749,263,142,84
0500000US48211,"Hemphill County, Texas",3,6,3,6,0,13
0500000US48225,"Houston County, Texas",32,29,32,29,0,25
0500000US48341,"Moore County, Texas",8,13,8,13,0,25
0500000US48349,"Navarro County, Texas",52,43,47,42,5,7
0500000US48375,"Potter County, Texas",111,62,75,40,36,45
0500000US48405,"San Augustine County, Texas",12,20,12,20,0,19
0500000US48415,"Scurry County, Texas",10,18,10,18,0,21
0500000US48417,"Shackelford County, Texas",0,13,0,13,0,13
0500000US48427,"Starr County, Texas",0,31,0,31,0,31
0500000US48433,"Stonewall County, Texas",0,13,0,13,0,13
0500000US48461,"Upton County, Texas",0,13,0,13,0,13
0500000US48021,"Bastrop County, Texas",497,389,372,291,125,122
0500000US48049,"Brown County, Texas",24,27,24,27,0,28
0500000US48191,"Hall County, Texas",0,13,0,13,0,13
0500000US48025,"Bee County, Texas",80,85,34,32,46,81
0500000US48159,"Franklin County, Texas",117,105,102,102,15,21
0500000US48163,"Frio County, Texas",0,21,0,21,0,21
0500000US48103,"Crane County, Texas",0,13,0,13,0,13
0500000US48281,"Lampasas County, Texas",156,69,128,61,28,29
0500000US48307,"McCulloch County, Texas",0,19,0,19,0,19
0500000US48319,"Mason County, Texas",47,32,43,30,4,7
0500000US48125,"Dickens County, Texas",16,21,16,21,0,13
0500000US48287,"Lee County, Texas",200,77,154,83,46,46
0500000US48439,"Tarrant County, Texas",3907,548,3370,496,537,197
0500000US48001,"Anderson County, Texas",75,48,57,40,18,28
0500000US48139,"Ellis County, Texas",171,100,171,100,0,31
0500000US48239,"Jackson County, Texas",25,28,18,26,7,11
0500000US48265,"Kerr County, Texas",179,88,151,80,28,41
0500000US48331,"Milam County, Texas",117,86,112,86,5,11
0500000US48093,"Comanche County, Texas",46,34,31,26,15,21
0500000US48145,"Falls County, Texas",121,74,121,74,0,21
0500000US48047,"Brooks County, Texas",0,19,0,19,0,19
0500000US48015,"Austin County, Texas",104,76,81,70,23,22
0500000US48261,"Kenedy County, Texas",0,13,0,13,0,13
0500000US48355,"Nueces County, Texas",716,213,671,202,45,38
0500000US48089,"Colorado County, Texas",64,42,40,31,24,30
0500000US48409,"San Patricio County, Texas",183,82,183,82,0,31
0500000US48379,"Rains County, Texas",2,3,2,3,0,21
0500000US48381,"Randall County, Texas",192,92,192,92,0,31
0500000US48385,"Real County, Texas",0,13,0,13,0,13
0500000US48411,"San Saba County, Texas",13,18,13,18,0,19
0500000US48413,"Schleicher County, Texas",6,11,6,11,0,13
0500000US48431,"Sterling County, Texas",0,13,0,13,0,13
0500000US48507,"Zavala County, Texas",0,21,0,21,0,21
0500000US48057,"Calhoun County, Texas",55,66,55,66,0,25
0500000US48065,"Carson County, Texas",13,16,13,16,0,19
0500000US48155,"Foard County, Texas",0,13,0,13,0,13
0500000US48161,"Freestone County, Texas",39,30,39,30,0,21
0500000US48175,"Goliad County, Texas",15,18,15,18,0,19
0500000US48193,"Hamilton County, Texas",12,19,12,19,0,19
0500000US48197,"Hardeman County, Texas",0,13,0,13,0,13
0500000US48335,"Mitchell County, Texas",5,12,5,12,0,19
0500000US48449,"Titus County, Texas",7,11,7,11,0,28
0500000US48045,"Briscoe County, Texas",0,13,0,13,0,13
0500000US48285,"Lavaca County, Texas",74,54,64,51,10,17
0500000US48291,"Liberty County, Texas",52,40,29,21,23,36
0500000US48445,"Terry County, Texas",529,216,314,131,215,123
0500000US48497,"Wise County, Texas",25,25,22,25,3,4
0500000US48143,"Erath County, Texas",83,54,83,54,0,28
0500000US48039,"Brazoria County, Texas",825,319,666,275,159,117
0500000US48345,"Motley County, Texas",0,13,0,13,0,13
0500000US48129,"Donley County, Texas",10,14,10,14,0,13
0500000US48013,"Atascosa County, Texas",72,61,72,61,0,28
0500000US48083,"Coleman County, Texas",11,12,11,12,0,19
0500000US48353,"Nolan County, Texas",18,22,18,22,0,21
0500000US48229,"Hudspeth County, Texas",0,13,0,13,0,13
0500000US48325,"Medina County, Texas",136,80,131,79,5,8
0500000US48475,"Ward County, Texas",10,11,10,11,0,21
0500000US48213,"Henderson County, Texas",137,103,118,98,19,17
0500000US48203,"Harrison County, Texas",19,25,19,25,0,31
0500000US48327,"Menard County, Texas",0,13,0,13,0,13
0500000US48277,"Lamar County, Texas",718,314,606,291,112,77
0500000US48149,"Fayette County, Texas",196,81,180,78,16,15
0500000US48491,"Williamson County, Texas",1946,403,1663,382,283,115
0500000US48267,"Kimble County, Texas",19,25,2,4,17,25
0500000US48317,"Martin County, Texas",236,129,134,88,102,57
0500000US48373,"Polk County, Texas",76,71,53,66,23,24
0500000US48391,"Refugio County, Texas",23,24,23,24,0,19
0500000US48467,"Van Zandt County, Texas",53,45,33,34,20,31
0500000US48055,"Caldwell County, Texas",108,96,108,96,0,28
0500000US48487,"Wilbarger County, Texas",0,21,0,21,0,21
0500000US48383,"Reagan County, Texas",0,13,0,13,0,13
0500000US48501,"Yoakum County, Texas",69,73,63,65,6,11
0500000US48189,"Hale County, Texas",59,43,59,43,0,28
0500000US48419,"Shelby County, Texas",15,27,13,27,2,3
0500000US48387,"Red River County, Texas",3,5,0,21,3,5
0500000US48399,"Runnels County, Texas",12,14,12,14,0,21
0500000US48407,"San Jacinto County, Texas",0,25,0,25,0,25
0500000US48435,"Sutton County, Texas",12,19,12,19,0,13
0500000US48451,"Tom Green County, Texas",204,91,180,81,24,29
0500000US48459,"Upshur County, Texas",47,51,47,51,0,28
0500000US48469,"Victoria County, Texas",203,104,190,101,13,18
0500000US48473,"Waller County, Texas",70,91,58,88,12,19
0500000US48481,"Wharton County, Texas",72,73,64,66,8,11
0500000US48485,"Wichita County, Texas",553,185,396,142,157,111
0500000US48493,"Wilson County, Texas",229,105,196,106,33,36
0500000US48033,"Borden County, Texas",0,13,0,13,0,13
0500000US48219,"Hockley County, Texas",53,59,42,45,11,16
0500000US48315,"Marion County, Texas",0,21,0,21,0,21
0500000US48323,"Maverick County, Texas",0,31,0,31,0,31
0500000US48329,"Midland County, Texas",205,148,205,148,0,31
0500000US48181,"Grayson County, Texas",193,100,179,96,14,20
0500000US48297,"Live Oak County, Texas",10,11,10,11,0,21
0500000US48299,"Llano County, Texas",70,45,64,44,6,9
0500000US48363,"Palo Pinto County, Texas",34,44,30,43,4,6
0500000US48147,"Fannin County, Texas",208,109,186,101,22,31
0500000US48255,"Karnes County, Texas",13,16,10,15,3,5
0500000US48123,"DeWitt County, Texas",154,110,130,107,24,35
0500000US48041,"Brazos County, Texas",448,170,380,159,68,53
0500000US48059,"Callahan County, Texas",0,21,0,21,0,21
0500000US48067,"Cass County, Texas",16,25,16,25,0,28
0500000US48165,"Gaines County, Texas",4529,560,3211,470,1318,324
0500000US48183,"Gregg County, Texas",118,67,97,65,21,31
0500000US48179,"Gray County, Texas",47,39,23,22,24,34
0500000US48313,"Madison County, Texas",29,33,29,33,0,21
0500000US48303,"Lubbock County, Texas",1052,295,986,254,66,64
0500000US48237,"Jack County, Texas",0,19,0,19,0,19
0500000US48257,"Kaufman County, Texas",296,179,216,152,80,61
0500000US48259,"Kendall County, Texas",154,115,154,115,0,28
0500000US48035,"Bosque County, Texas",56,39,54,39,2,3
0500000US48153,"Floyd County, Texas",0,19,0,19,0,19
0500000US48029,"Bexar County, Texas",5531,684,4822,592,709,189
0500000US48017,"Bailey County, Texas",0,19,0,19,0,19
0500000US48071,"Chambers County, Texas",63,54,63,54,0,28
0500000US48023,"Baylor County, Texas",0,13,0,13,0,13
0500000US48027,"Bell County, Texas",3391,564,3016,528,375,129
0500000US48061,"Cameron County, Texas",210,110,180,106,30,23
0500000US48121,"Denton County, Texas",2647,485,2445,475,202,95
0500000US48361,"Orange County, Texas",75,62,75,62,0,31
0500000US48233,"Hutchinson County, Texas",23,22,2,3,21,21
0500000US48477,"Washington County, Texas",230,107,203,99,27,43
0500000US48343,"Morris County, Texas",0,21,0,21,0,21
0500000US48429,"Stephens County, Texas",0,19,0,19,0,19
0500000US48495,"Winkler County, Texas",0,19,0,19,0,19
0500000US48201,"Harris County, Texas",11177,1079,10158,1041,1019,218
0500000US48003,"Andrews County, Texas",54,67,54,67,0,21
0500000US48053,"Burnet County, Texas",116,87,116,87,0,28
0500000US48171,"Gillespie County, Texas",688,154,598,143,90,67
0500000US48177,"Gonzales County, Texas",45,42,45,42,0,25
0500000US48113,"Dallas County, Texas",4071,485,3574,503,497,158
0500000US48305,"Lynn County, Texas",167,104,113,82,54,36
0500000US48311,"McMullen County, Texas",0,13,0,13,0,13
0500000US48503,"Young County, Texas",25,27,25,27,0,21
0500000US48505,"Zapata County, Texas",0,21,0,21,0,21
0500000US48251,"Johnson County, Texas",388,277,274,161,114,141
0500000US48221,"Hood County, Texas",70,48,32,30,38,38
0500000US48223,"Hopkins County, Texas",157,92,155,92,2,4
0500000US48309,"McLennan County, Texas",446,167,419,171,27,26
0500000US48357,"Ochiltree County, Texas",19,32,19,32,0,21
0500000US48269,"King County, Texas",0,13,0,13,0,13
0500000US48275,"Knox County, Texas",5,8,5,8,0,13
0500000US48073,"Cherokee County, Texas",51,40,42,38,9,14
0500000US48095,"Concho County, Texas",2,3,2,3,0,13
0500000US48119,"Delta County, Texas",9,15,6,10,3,5
0500000US48137,"Edwards County, Texas",0,13,0,13,0,13
0500000US48133,"Eastland County, Texas",6,6,6,6,0,21
0500000US48253,"Jones County, Texas",88,90,88,90,0,21
0500000US48243,"Jeff Davis County, Texas",3,6,3,6,0,13
0500000US48247,"Jim Hogg County, Texas",0,19,0,19,0,19
0500000US48249,"Jim Wells County, Texas",49,60,14,24,35,56
0500000US48339,"Montgomery County, Texas",1602,528,1542,523,60,52
0500000US48111,"Dallam County, Texas",430,298,88,54,342,295
0500000US48127,"Dimmit County, Texas",0,21,0,21,0,21
0500000US48479,"Webb County, Texas",96,93,96,93,0,31
0500000US48157,"Fort Bend County, Texas",1284,586,990,349,294,292
0500000US48011,"Armstrong County, Texas",19,24,19,24,0,13
0500000US48069,"Castro County, Texas",22,17,22,17,0,19
0500000US48235,"Irion County, Texas",0,13,0,13,0,13
0500000US48273,"Kleberg County, Texas",13,24,13,24,0,28
0500000US48489,"Willacy County, Texas",113,130,111,130,2,4
0500000US48097,"Cooke County, Texas",302,284,302,284,0,28
0500000US48107,"Crosby County, Texas",8,9,2,4,6,9
0500000US48115,"Dawson County, Texas",138,93,63,56,75,62
0500000US48151,"Fisher County, Texas",14,17,14,17,0,13
0500000US48131,"Duval County, Texas",5,7,5,7,0,21
0500000US48051,"Burleson County, Texas",44,46,44,46,0,21
0500000US48031,"Blanco County, Texas",94,64,82,61,12,19
0500000US48241,"Jasper County, Texas",10,14,10,14,0,28
0500000US48245,"Jefferson County, Texas",274,109,257,107,17,19
0500000US48271,"Kinney County, Texas",0,13,0,13,0,13
0500000US48359,"Oldham County, Texas",0,13,0,13,0,13
0500000US48117,"Deaf Smith County, Texas",0,21,0,21,0,21
0500000US48167,"Galveston County, Texas",735,215,674,215,61,42
0500000US48141,"El Paso County, Texas",3005,685,2295,498,710,410
0500000US48283,"La Salle County, Texas",0,19,0,19,0,19
0500000US48393,"Roberts County, Texas",0,13,0,13,0,13
0500000US48443,"Terrell County, Texas",7,12,7,12,0,13
0500000US48457,"Tyler County, Texas",25,27,25,27,0,25
0500000US48463,"Uvalde County, Texas",29,35,24,34,5,10
0500000US48483,"Wheeler County, Texas",0,19,0,19,0,19
0500000US48037,"Bowie County, Texas",100,83,78,75,22,30
0500000US48009,"Archer County, Texas",0,19,0,19,0,19
0500000US48043,"Brewster County, Texas",57,85,57,85,0,19
0500000US48263,"Kent County, Texas",0,13,0,13,0,13
0500000US48215,"Hidalgo County, Texas",355,148,346,147,9,14
0500000US48423,"Smith County, Texas",518,209,467,201,51,50
0500000US48425,"Somervell County, Texas",0,19,0,19,0,19
0500000US48105,"Crockett County, Texas",0,13,0,13,0,13