Group,Language,
Spanish,Spanish,
Other Indo-European languages,French (incl. Cajun),
Other Indo-European languages,Haitian,
Other Indo-European languages,Italian,
Other Indo-European languages,Portuguese,
Other Indo-European languages,German,
Other Indo-European languages,"Yiddish, Pennsylvania Dutch or other West Germanic languages",
Other Indo-European languages,Greek,
Other Indo-European languages,Russian,
Other Indo-European languages,Polish,
Other Indo-European languages,Serbo-Croatian,
Other Indo-European languages,Ukrainian or other Slavic languages,
Other Indo-European languages,Armenian,
Other Indo-European languages,"Persian (incl. Farsi, Dari)",
Other Indo-European languages,Gujarati,
Other Indo-European languages,Hindi,
Other Indo-European languages,Urdu,
Other Indo-European languages,Punjabi,
Other Indo-European languages,Bengali,
Other Indo-European languages,"Nepali, Marathi, or other Indic languages",
Other Indo-European languages,Other Indo-European languages,
Other Indo-European languages,Telugu,
Other Indo-European languages,Tamil,
Other Indo-European languages,"Malayalam, Kannada, or other Dravidian languages",
Asian and Pacific Island languages,"Chinese (incl. Mandarin, Cantonese)",
Asian and Pacific Island languages,Japanese,
Asian and Pacific Island languages,Korean,
Asian and Pacific Island languages,Hmong,
Asian and Pacific Island languages,Vietnamese,
Asian and Pacific Island languages,Khmer,
Asian and Pacific Island languages,"Thai, Lao, or other Tai-Kadai languages",
Asian and Pacific Island languages,Other languages of Asia,
Asian and Pacific Island languages,Tagalog (incl. Filipino),
Asian and Pacific Island languages,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",
All other languages,Navajo,
All other languages,Other Native languages of North America,
All other languages,Arabic,
All other languages,Hebrew,
All other languages,"Amharic, Somali, or other Afro-Asiatic languages",
All other languages,"Yoruba, Twi, Igbo, or other languages of Western Africa",
All other languages,"Swahili or other languages of Central, Eastern, and Southern Africa",
All other languages,Other and unspecified languages,